Calculator ID,Calculator Name,Relevant Entities,Output Name,
2,Creatinine Clearance (Cockcroft-Gault Equation),"age, creatinine, height, sex, weight",Creatinine Clearance,
3,CKD-EPI Equations for Glomerular Filtration Rate,"age, creatinine, sex",GFR Value,
4,CHA2DS2-VASc Score for Atrial Fibrillation Stroke Risk,"Congestive Heart Failure, Diabetes history, Hypertension history, Stroke, Thromboembolism history, Transient Ischemic Attacks History, Vascular disease history, age, sex",CHA2DS2-VASc Score,
5,Mean Arterial Pressure (MAP),"Diastolic Blood Pressure, Systolic Blood Pressure",Mean Arterial Pressure,
6,Body Mass Index (BMI),"height, weight",BMI,
7,Calcium Correction for Hypoalbuminemia,"Albumin, Calcium",Corrected Calcium Concentration,
8,Wells' Criteria for Pulmonary Embolism,"Clinical signs and symptoms of Deep Vein Thrombosis, Heart Rate or Pulse, Hemoptysis, Immobilization for at least 3 days, Malignancy with treatment within 6 months or palliative, Previously Documented Pulmonary Embolism, Previously documented Deep Vein Thrombosis, Pulmonary Embolism is #1 diagnosis OR equally likely, Surgery in the previous 4 weeks",Well's Score for Pulmonary Embolism,
9,MDRD GFR Equation,"Race, age, creatinine, sex",GFR,
10,Ideal Body Weight,"height, sex",IBW,
11,QTc Bazett Calculator,"Heart Rate or Pulse, QT Interval",Corrected QT Interval (QTc),
13,Estimated Due Date,"Last menstrual date, cycle length",Estimated Due Date,
15,Child-Pugh Score for Cirrhosis Mortality,"Albumin, Ascites, Bilirubin, Encephalopathy, international normalized ratio",Child-Pugh Score,
16,Wells' Criteria for DVT,"Active cancer, Alternative diagnosis to Deep Vein Thrombosis as likely or more likely, Bedridden recently >3 days, Calf swelling >3 centimeters compared to the other leg, Collateral (nonvaricose) superficial veins present, Entire Leg Swollen, Localized tenderness along the deep venous system, Major surgery within 12 weeks, Paralysis, paresis, or recent plaster immobilization of the lower extremity, Pitting edema, confined to symptomatic leg, Previously documented Deep Vein Thrombosis",Well's DVT Score,
17,Revised Cardiac Risk Index for Pre-Operative Risk,"Congestive Heart Failure criteria for the Cardiac Risk Index rule, Elevated-risk surgery, History of cerebrovascular disease, History of ischemic heart disease, Pre-operative creatinine, Pre-operative treatment with insulin",Cardiac Risk Index Score,
18,HEART Score for Major Cardiac Events,"Diabetes mellitus, Electrocardiogram Test, Hypertension history, Initial troponin, Suspicion History, Transient Ischemic Attacks History, age, atherosclerotic disease, hypercholesterolemia, obesity, parent or sibling with Cardiovascular disease before age 65, smoking",HEART Score,
19,Fibrosis-4 (FIB-4) Index for Liver Fibrosis,"Alanine aminotransferase, Aspartate aminotransferase, Platelet count, age",Fibrosis-4 Score,
20,Centor Score (Modified/McIsaac) for Strep Pharyngitis,"Cough Absent, Exudate or swelling on tonsils, Temperature, Tender/swollen anterior cervical lymph nodes, age",Centor Score,
21,Glasgow Coma Score (GCS),"Best eye response, Best motor response, Best verbal response",Glasgow Coma Score,
22,Maintenance Fluids Calculations,weight,Fluid Maintenance,
23,MELD Na (UNOS/OPTN),"Bilirubin, Continuous veno-venous hemodialysis for â‰?4 hours in the past week, Dialysis at least twice in the past week, Sodium, creatinine, international normalized ratio",MELD Na Score,
24,Steroid Conversion Calculator,"input steroid, target steroid",Equivalent Steroid Dosage,
25,HAS-BLED Score for Major Bleeding Risk,"Hypertension, Labile international normalized ratio, Liver disease criteria for the HAS-BLED rule, Medication usage predisposing to bleeding, Number of Alcoholic Drinks Per Week, Prior major bleeding or predisposition to bleeding, Renal disease criteria for the HAS-BLED rule, Stroke, age",HAS-BLED Score,
26,Sodium Correction for Hyperglycemia,"Glucose, Sodium",Corrected Concentration of Sodium,
27,Glasgow-Blatchford Bleeding Score (GBS),"Blood Urea Nitrogen (BUN), Cardiac Failure Present, Heart Rate or Pulse, Hemoglobin, Hepatic disease history, Melena Present, Recent Syncope, Systolic Blood Pressure, sex",Glasgow Bleeding Score,
28,APACHE II Score,"A-a gradient, Acute renal failure, Chronic renal failure, Diastolic Blood Pressure, FiO2, Glasgow Coma Score, Heart Rate or Pulse, Hematocrit, History of severe organ failure or immunocompromise, PaO2, Potassium, Sodium, Surgery Type, Systolic Blood Pressure, Temperature, White blood cell count, age, creatinine, pH, respiratory rate",APACHE II Score,
29,PSI Score: Pneumonia Severity Index for CAP,"Altered mental status, Blood Urea Nitrogen (BUN), Cerebrovascular disease history, Congestive Heart Failure, Glucose, Heart Rate or Pulse, Hematocrit, Liver disease history, Neoplastic disease, Nursing home resident, Partial pressure of oxygen, Pleural effusion on x-ray, Renal disease history, Sodium, Systolic Blood Pressure, Temperature, age, pH, respiratory rate, sex",PSI Score,
30,Serum Osmolality,"Blood Urea Nitrogen (BUN), Glucose, Sodium",Calculated Serum Osmolality Concentration,
31,HOMA-IR (Homeostatic Model Assessment for Insulin Resistance),"Glucose, Insulin",HOMA-IR Score,
32,Charlson Comorbidity Index (CCI),"AIDS, Cerebrovascular Accident, Chronic Pulmonary Disease, Congestive Heart Failure, Connective tissue disease, Dementia, Diabetes mellitus, Hemiplegia, Leukemia, Liver disease severity, Lymphoma, Moderate to severe Chronic Kidney Disease, Myocardial infarction, Peptic ulcer disease, Peripheral vascular disease, Solid tumor, Transient Ischemic Attacks History, age",CCI Score,
33,FeverPAIN Score for Strep Pharyngitis,"Absence of cough or coryza, Fever in past 24 hours, Purulent tonsils, Severe tonsil inflammation, Symptom onset <=3 days",FeverPAIN Score,
36,Caprini Score for Venous Thromboembolism (2005),"Acute Myocardial infarction, Acute spinal cord injury causing paralysis in the last month, Body Mass Index (BMI), Chronic Obstructive Pulmonary Disease, Congestive Heart Failure in the last month, Current central venous access, Current swollen legs, Elevated anticardiolipin antibody, Elevated serum homocysteine, Family history of thrombosis, Heparin-induced thrombocytopenia, Hip, pelvis, or leg fracture in the last month, History of inflammatory bowel disease, Immobilizing plaster cast in the last month, Major Surgery in the last month, Mobility, Multiple trauma in the last month, Other congenital or acquired thrombophilia, Pneumonia in the last month, Positive Factor V Leiden, Positive lupus anticoagulant, Positive prothrombin 20210A, Present or previous malignancy, Previously Documented Pulmonary Embolism, Previously documented Deep Vein Thrombosis, Sepsis in the last month, Stroke in the last month, Surgery Type, Varicose veins, age, sex",Caprini Score,
38,Free Water Deficit,"Sodium, age, sex, weight",Free Body Water Deficit,
39,Anion Gap,"Bicarbonate, Chloride, Sodium",Anion Gap,
40,Fractional Excretion of Sodium (FENa),"Sodium, Urine creatinine, Urine sodium, creatinine",FEna Percentage,
43,Sequential Organ Failure Assessment (SOFA) Score,"Bilirubin, Continuous positive airway pressure, DOBUTamine, DOPamine, Diastolic Blood Pressure, FiO2, Glasgow Coma Score, Hypotension, On mechanical ventilation, PaO2, Platelet count, Systolic Blood Pressure, Urine Output, creatinine",SOFA Score,
44,LDL Calculated,"Total cholesterol, Triglycerides, high-density lipoprotein cholesterol",Concentration of LDL Cholestrol,
45,CURB-65 Score for Pneumonia Severity,"Blood Urea Nitrogen (BUN), Confusion, Diastolic Blood Pressure, Systolic Blood Pressure, age, respiratory rate",CURB-65 Score,
46,Framingham Risk Score for Hard Coronary Heart Disease,"Blood pressure being treated with medicines, Smoker, Systolic Blood Pressure, Total cholesterol, age, high-density lipoprotein cholesterol, sex",10-year Risk Percentage of MI or Death,
48,PERC Rule for Pulmonary Embolism,"Heart Rate or Pulse, Hemoptysis, Hormone use, Oâ‚?saturation percentage, Previously Documented Pulmonary Embolism, Previously documented Deep Vein Thrombosis, Recent surgery or trauma, Unilateral Leg Swelling, age",the Number of PERC Rule Criteria Met by the Patient,
49,Morphine Milligram Equivalents (MME) Calculator,"Codeine Dose, Codeine Dose Per Day, FentaNYL buccal Dose, FentaNYL buccal Dose Per Day, HYDROcodone Dose, HYDROcodone Dose Per Day, HYDROmorphone Dose, HYDROmorphone Dose Per Day, Methadone Dose, Methadone Dose Per Day, Morphine Dose, Morphine Dose Per Day, OxyCODONE Dose, OxyCODONE Dose Per Day, OxyMORphone Dose, OxyMORphone Dose Per Day, Tapentadol Dose, Tapentadol Dose Per Day, TraMADol Dose, TraMADol Dose Per Day",MME/Day,
51,SIRS Criteria,"Heart Rate or Pulse, PaCO2, Temperature, White blood cell count, respiratory rate",the Number of SIRS Criteria Met by the Patient,
56,QTc Fridericia Calculator,"Heart Rate or Pulse, QT Interval",Corrected QT Interval ,
57,QTc Framingham Calculator,"Heart Rate or Pulse, QT Interval",Corrected QT Interval,
58,QTc Hodges Calculator,"Heart Rate or Pulse, QT Interval",Corrected QT Interval ,
59,QTc Rautaharju Calculator,"Heart Rate or Pulse, QT Interval",Corrected QT Interval ,
60,Body Surface Area Calculator,"height, weight",BSA,
61,Target weight,"Body Mass Index (BMI), height",Target Weight,
62,Adjusted Body Weight,"height, sex, weight",Adjusted Body Weight,
63,Delta Gap,"Bicarbonate, Chloride, Sodium",Delta Gap,
64,Delta Ratio,"Bicarbonate, Chloride, Sodium",Delta Ratio,
65,Albumin Corrected Anion Gap,"Albumin, Bicarbonate, Chloride, Sodium",Albumin Corrected Anion Gap,
66,Albumin Corrected Delta Gap,"Albumin, Bicarbonate, Chloride, Sodium",Albumin Corrected Delta Gap,
67,Albumin Corrected Delta Ratio,"Albumin, Bicarbonate, Chloride, Sodium",Albumin Corrected Delta Ratio,
68,Estimated Date of Conception,Last menstrual date,Estimated Date of Conception,
69,Estimated Gestational Age,"Current Date, Last menstrual date",Estimated Gestational Age,
